ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	demoanton.RecordedSimulation	recordedsimulation	1603572919603	 	3.3.1
USER	RecordedSimulation	1	START	1603572921548	1603572921548
REQUEST	1		homePage	1603572921612	1603572921895	OK	 
REQUEST	1		iPhonePage	1603572923762	1603572924006	OK	 
USER	RecordedSimulation	2	START	1603572924538	1603572924538
REQUEST	2		homePage	1603572924542	1603572924730	OK	 
REQUEST	2		iPhonePage	1603572925790	1603572926030	OK	 
USER	RecordedSimulation	3	START	1603572928558	1603572928558
REQUEST	3		homePage	1603572928561	1603572928804	OK	 
USER	RecordedSimulation	4	START	1603572932555	1603572932555
REQUEST	4		homePage	1603572932558	1603572932774	OK	 
REQUEST	3		iPhonePage	1603572932762	1603572933018	OK	 
REQUEST	4		iPhonePage	1603572935892	1603572936128	OK	 
REQUEST	1		selectedIPhonePage	1603572937013	1603572937157	OK	 
REQUEST	2		selectedIPhonePage	1603572939042	1603572939179	OK	 
REQUEST	2		buyAndGoToCart	1603572941222	1603572941329	OK	 
REQUEST	1		buyAndGoToCart	1603572941652	1603572941768	OK	 
REQUEST	2		homePageAgain	1603572943231	1603572943342	OK	 
REQUEST	1		homePageAgain	1603572943478	1603572943594	OK	 
REQUEST	2		watchPage	1603572945561	1603572945806	OK	 
REQUEST	3		selectedIPhonePage	1603572946044	1603572946188	OK	 
REQUEST	1		watchPage	1603572947922	1603572948128	OK	 
REQUEST	4		selectedIPhonePage	1603572949123	1603572949262	OK	 
REQUEST	3		buyAndGoToCart	1603572950570	1603572950672	OK	 
REQUEST	3		homePageAgain	1603572953735	1603572953844	OK	 
REQUEST	4		buyAndGoToCart	1603572954172	1603572954272	OK	 
REQUEST	3		watchPage	1603572957360	1603572957560	OK	 
REQUEST	4		homePageAgain	1603572959181	1603572959288	OK	 
REQUEST	2		selectedWatchPage	1603572960822	1603572960969	OK	 
REQUEST	4		watchPage	1603572961230	1603572961440	OK	 
REQUEST	1		selectedWatchPage	1603572963131	1603572963262	OK	 
REQUEST	2		buyAndGoToCartFromWatch	1603572965593	1603572965695	OK	 
USER	RecordedSimulation	2	END	1603572924538	1603572965704
REQUEST	1		buyAndGoToCartFromWatch	1603572966620	1603572966730	OK	 
USER	RecordedSimulation	1	END	1603572921548	1603572966734
REQUEST	3		selectedWatchPage	1603572972570	1603572972715	OK	 
REQUEST	4		selectedWatchPage	1603572976457	1603572976588	OK	 
REQUEST	3		buyAndGoToCartFromWatch	1603572977511	1603572977611	OK	 
USER	RecordedSimulation	3	END	1603572928558	1603572977613
REQUEST	4		buyAndGoToCartFromWatch	1603572980457	1603572980565	OK	 
USER	RecordedSimulation	4	END	1603572932555	1603572980566
