ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	demoanton.RecordedSimulation	recordedsimulation	1603738521376	 	3.3.1
USER	RecordedSimulation	1	START	1603738523097	1603738523097
REQUEST	1		homePage	1603738523133	1603738523769	OK	 
USER	RecordedSimulation	2	START	1603738526088	1603738526088
REQUEST	1		iPhonePage	1603738526144	1603738526407	OK	 
REQUEST	2		homePage	1603738526093	1603738527338	OK	 
REQUEST	1		selectedIPhonePage	1603738528951	1603738529088	OK	 
USER	RecordedSimulation	3	START	1603738530098	1603738530098
REQUEST	3		homePage	1603738530101	1603738530327	OK	 
REQUEST	2		iPhonePage	1603738531503	1603738531788	OK	 
REQUEST	2		selectedIPhonePage	1603738533753	1603738533889	OK	 
USER	RecordedSimulation	4	START	1603738534098	1603738534098
REQUEST	4		homePage	1603738534100	1603738534329	OK	 
REQUEST	3		iPhonePage	1603738535086	1603738535323	OK	 
REQUEST	4		iPhonePage	1603738537737	1603738537974	OK	 
REQUEST	1		buyAndGoToCart	1603738538117	1603738538222	OK	 
REQUEST	3		selectedIPhonePage	1603738539594	1603738539729	OK	 
REQUEST	4		selectedIPhonePage	1603738540800	1603738540934	OK	 
REQUEST	2		buyAndGoToCart	1603738542890	1603738543132	OK	 
REQUEST	3		buyAndGoToCart	1603738548724	1603738548825	OK	 
REQUEST	4		buyAndGoToCart	1603738549942	1603738550051	OK	 
REQUEST	1		homePageAgain	1603738550223	1603738550337	OK	 
REQUEST	2		homePageAgain	1603738555130	1603738555245	OK	 
REQUEST	1		watchPage	1603738559340	1603738559569	OK	 
REQUEST	3		homePageAgain	1603738560839	1603738560955	OK	 
REQUEST	4		homePageAgain	1603738562054	1603738562168	OK	 
REQUEST	2		watchPage	1603738564261	1603738564479	OK	 
REQUEST	3		watchPage	1603738569955	1603738570169	OK	 
REQUEST	4		watchPage	1603738571170	1603738571372	OK	 
REQUEST	1		selectedWatchPage	1603738574576	1603738574716	OK	 
REQUEST	2		selectedWatchPage	1603738579480	1603738579633	OK	 
REQUEST	1		buyAndGoToCartFromWatch	1603738581730	1603738581837	OK	 
USER	RecordedSimulation	1	END	1603738523097	1603738581852
REQUEST	3		selectedWatchPage	1603738585178	1603738585314	OK	 
REQUEST	4		selectedWatchPage	1603738586361	1603738586498	OK	 
REQUEST	2		buyAndGoToCartFromWatch	1603738586657	1603738586759	OK	 
USER	RecordedSimulation	2	END	1603738526088	1603738586763
REQUEST	3		buyAndGoToCartFromWatch	1603738592310	1603738592417	OK	 
USER	RecordedSimulation	3	END	1603738530098	1603738592420
REQUEST	4		buyAndGoToCartFromWatch	1603738593505	1603738593608	OK	 
USER	RecordedSimulation	4	END	1603738534098	1603738593612
