ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	demoanton.RecordedSimulation	recordedsimulation	1603738794116	 	3.3.1
USER	RecordedSimulation	1	START	1603738795534	1603738795534
REQUEST	1		homePage	1603738795576	1603738795818	OK	 
USER	RecordedSimulation	2	START	1603738798534	1603738798534
REQUEST	2		homePage	1603738798537	1603738798754	OK	 
REQUEST	1		iPhonePage	1603738800243	1603738800575	OK	 
REQUEST	2		iPhonePage	1603738801838	1603738802084	OK	 
REQUEST	1		selectedIPhonePage	1603738802196	1603738802348	OK	 
USER	RecordedSimulation	3	START	1603738802537	1603738802537
REQUEST	3		homePage	1603738802538	1603738802718	OK	 
REQUEST	2		selectedIPhonePage	1603738804698	1603738804835	OK	 
USER	RecordedSimulation	4	START	1603738806537	1603738806537
REQUEST	4		homePage	1603738806539	1603738806760	OK	 
REQUEST	3		iPhonePage	1603738806774	1603738807012	OK	 
REQUEST	3		selectedIPhonePage	1603738808034	1603738808170	OK	 
REQUEST	4		iPhonePage	1603738808315	1603738808538	OK	 
REQUEST	1		buyAndGoToCart	1603738811361	1603738811467	OK	 
REQUEST	4		selectedIPhonePage	1603738812843	1603738812991	OK	 
REQUEST	2		buyAndGoToCart	1603738813841	1603738813960	OK	 
REQUEST	3		buyAndGoToCart	1603738817167	1603738817272	OK	 
REQUEST	4		buyAndGoToCart	1603738821986	1603738822093	OK	 
REQUEST	1		homePageAgain	1603738823476	1603738823599	OK	 
REQUEST	2		homePageAgain	1603738825954	1603738826068	OK	 
REQUEST	3		homePageAgain	1603738829278	1603738829390	OK	 
REQUEST	1		watchPage	1603738832605	1603738832825	OK	 
REQUEST	4		homePageAgain	1603738834102	1603738834213	OK	 
REQUEST	2		watchPage	1603738835072	1603738835282	OK	 
REQUEST	3		watchPage	1603738838396	1603738838609	OK	 
REQUEST	4		watchPage	1603738843215	1603738843416	OK	 
REQUEST	1		selectedWatchPage	1603738847818	1603738847966	OK	 
REQUEST	2		selectedWatchPage	1603738850281	1603738850429	OK	 
REQUEST	3		selectedWatchPage	1603738853609	1603738853747	OK	 
REQUEST	1		buyAndGoToCartFromWatch	1603738854965	1603738855068	OK	 
USER	RecordedSimulation	1	END	1603738795534	1603738855085
REQUEST	2		buyAndGoToCartFromWatch	1603738857422	1603738857525	OK	 
USER	RecordedSimulation	2	END	1603738798534	1603738857531
REQUEST	4		selectedWatchPage	1603738858406	1603738858547	OK	 
REQUEST	3		buyAndGoToCartFromWatch	1603738860745	1603738860844	OK	 
USER	RecordedSimulation	3	END	1603738802537	1603738860847
REQUEST	4		buyAndGoToCartFromWatch	1603738865564	1603738865669	OK	 
USER	RecordedSimulation	4	END	1603738806537	1603738865679
