ASSERTION	AAECAAMEAAAAAAAAAFlA
RUN	demoanton.RecordedSimulation	recordedsimulation	1603404509384	 	3.3.1
USER	RecordedSimulation	1	START	1603404511236	1603404511236
REQUEST	1		open main page	1603404511284	1603404511602	OK	 
REQUEST	1		get spec_json	1603404514668	1603404515195	OK	 
USER	RecordedSimulation	2	START	1603404516230	1603404516230
REQUEST	1		delete	1603404516196	1603404516338	OK	 
REQUEST	2		open main page	1603404516233	1603404516548	OK	 
USER	RecordedSimulation	3	START	1603404521238	1603404521238
REQUEST	3		open main page	1603404521240	1603404521549	OK	 
REQUEST	2		get spec_json	1603404521162	1603404521715	OK	 
REQUEST	2		delete	1603404522711	1603404522852	OK	 
REQUEST	3		get spec_json	1603404522931	1603404523411	OK	 
REQUEST	3		delete	1603404524410	1603404524554	OK	 
REQUEST	1		get	1603404529340	1603404529483	OK	 
REQUEST	2		get	1603404535852	1603404535993	OK	 
REQUEST	3		get	1603404537561	1603404537705	OK	 
REQUEST	1		patch	1603404542484	1603404542628	OK	 
REQUEST	2		patch	1603404549001	1603404549165	OK	 
REQUEST	3		patch	1603404550702	1603404550846	OK	 
REQUEST	1		post	1603404553621	1603404553770	OK	 
REQUEST	2		post	1603404560156	1603404560297	OK	 
REQUEST	3		post	1603404561857	1603404562002	OK	 
REQUEST	1		put	1603404578771	1603404578914	OK	 
USER	RecordedSimulation	1	END	1603404511236	1603404578931
REQUEST	2		put	1603404585301	1603404585444	OK	 
USER	RecordedSimulation	2	END	1603404516230	1603404585449
REQUEST	3		put	1603404587002	1603404587147	OK	 
USER	RecordedSimulation	3	END	1603404521238	1603404587148
