ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	demoanton.RecordedSimulation	recordedsimulation	1603574909464	 	3.3.1
USER	RecordedSimulation	1	START	1603574911297	1603574911297
REQUEST	1		homePage	1603574911380	1603574911627	OK	 
USER	RecordedSimulation	2	START	1603574914293	1603574914293
REQUEST	2		homePage	1603574914296	1603574914514	OK	 
REQUEST	1		iPhonePage	1603574914620	1603574914863	OK	 
REQUEST	2		iPhonePage	1603574916790	1603574917035	OK	 
USER	RecordedSimulation	3	START	1603574918269	1603574918269
REQUEST	3		homePage	1603574918272	1603574919732	OK	 
USER	RecordedSimulation	4	START	1603574922282	1603574922282
REQUEST	4		homePage	1603574922285	1603574922509	OK	 
REQUEST	3		iPhonePage	1603574923603	1603574923837	OK	 
REQUEST	4		iPhonePage	1603574923959	1603574924200	OK	 
REQUEST	1		selectedIPhonePage	1603574927872	1603574928045	OK	 
REQUEST	1		buyAndGoToCart	1603574929780	1603574929885	OK	 
REQUEST	2		selectedIPhonePage	1603574930049	1603574930206	OK	 
REQUEST	1		homePageAgain	1603574930968	1603574931072	OK	 
REQUEST	2		buyAndGoToCart	1603574931499	1603574931600	OK	 
REQUEST	1		watchPage	1603574934848	1603574935100	OK	 
REQUEST	2		homePageAgain	1603574935626	1603574935735	OK	 
REQUEST	3		selectedIPhonePage	1603574936841	1603574936974	OK	 
REQUEST	2		watchPage	1603574937121	1603574937320	OK	 
REQUEST	4		selectedIPhonePage	1603574937200	1603574938365	OK	 
REQUEST	3		buyAndGoToCart	1603574940410	1603574940513	OK	 
REQUEST	4		buyAndGoToCart	1603574939910	1603574941045	OK	 
REQUEST	4		homePageAgain	1603574942668	1603574942797	OK	 
REQUEST	3		homePageAgain	1603574943537	1603574943660	OK	 
REQUEST	4		watchPage	1603574944567	1603574945800	OK	 
REQUEST	3		watchPage	1603574945828	1603574946048	OK	 
REQUEST	1		selectedWatchPage	1603574950108	1603574950246	OK	 
REQUEST	1		buyAndGoToCartFromWatch	1603574951546	1603574951648	OK	 
USER	RecordedSimulation	1	END	1603574911297	1603574951656
REQUEST	2		selectedWatchPage	1603574952298	1603574953472	OK	 
REQUEST	2		buyAndGoToCartFromWatch	1603574956463	1603574956569	OK	 
USER	RecordedSimulation	2	END	1603574914293	1603574956572
REQUEST	4		selectedWatchPage	1603574960809	1603574960968	OK	 
REQUEST	3		selectedWatchPage	1603574961059	1603574961208	OK	 
REQUEST	4		buyAndGoToCartFromWatch	1603574964508	1603574964611	OK	 
USER	RecordedSimulation	4	END	1603574922282	1603574964612
REQUEST	3		buyAndGoToCartFromWatch	1603574963651	1603574964758	OK	 
USER	RecordedSimulation	3	END	1603574918269	1603574964759
