ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	demoanton.RecordedSimulation	recordedsimulation	1603410484725	 	3.3.1
USER	RecordedSimulation	1	START	1603410486169	1603410486169
REQUEST	1		homePage	1603410486203	1603410486419	OK	 
USER	RecordedSimulation	2	START	1603410489170	1603410489170
REQUEST	2		homePage	1603410489174	1603410489418	OK	 
USER	RecordedSimulation	3	START	1603410493172	1603410493172
REQUEST	3		homePage	1603410493175	1603410493420	OK	 
USER	RecordedSimulation	4	START	1603410497170	1603410497170
REQUEST	4		homePage	1603410497172	1603410497405	OK	 
REQUEST	1		iPhonePage	1603410498452	1603410498687	OK	 
REQUEST	2		iPhonePage	1603410501450	1603410501690	OK	 
REQUEST	3		iPhonePage	1603410505440	1603410505694	OK	 
REQUEST	4		iPhonePage	1603410509422	1603410509691	OK	 
REQUEST	1		selectedIPhonePage	1603410528683	1603410529865	OK	 
REQUEST	2		selectedIPhonePage	1603410531674	1603410531809	OK	 
REQUEST	3		selectedIPhonePage	1603410535694	1603410535861	OK	 
REQUEST	4		selectedIPhonePage	1603410539699	1603410539833	OK	 
REQUEST	1		buyAndGoToCart	1603410548878	1603410548984	OK	 
REQUEST	2		buyAndGoToCart	1603410550813	1603410550916	OK	 
REQUEST	3		buyAndGoToCart	1603410554882	1603410554993	OK	 
REQUEST	4		buyAndGoToCart	1603410558832	1603410558987	OK	 
REQUEST	1		homePageAgain	1603410566999	1603410567122	OK	 
REQUEST	2		homePageAgain	1603410568926	1603410569038	OK	 
REQUEST	3		homePageAgain	1603410572992	1603410573107	OK	 
REQUEST	4		homePageAgain	1603410576992	1603410577113	OK	 
REQUEST	1		watchPage	1603410600142	1603410600392	OK	 
REQUEST	2		watchPage	1603410602043	1603410602281	OK	 
REQUEST	3		watchPage	1603410606102	1603410606325	OK	 
REQUEST	4		watchPage	1603410610122	1603410610367	OK	 
REQUEST	1		selectedWatchPage	1603410615374	1603410615531	OK	 
REQUEST	2		selectedWatchPage	1603410617278	1603410617433	OK	 
REQUEST	3		selectedWatchPage	1603410621314	1603410621468	OK	 
REQUEST	4		selectedWatchPage	1603410625374	1603410625524	OK	 
REQUEST	1		buyAndGoToCartFromWatch	1603410632533	1603410632636	OK	 
USER	RecordedSimulation	1	END	1603410486169	1603410632652
REQUEST	2		buyAndGoToCartFromWatch	1603410634433	1603410634536	OK	 
USER	RecordedSimulation	2	END	1603410489170	1603410634542
REQUEST	3		buyAndGoToCartFromWatch	1603410638472	1603410638572	OK	 
USER	RecordedSimulation	3	END	1603410493172	1603410638576
REQUEST	4		buyAndGoToCartFromWatch	1603410642519	1603410642629	OK	 
USER	RecordedSimulation	4	END	1603410497170	1603410642632
