ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	demoanton.RecordedSimulation	recordedsimulation	1603739885303	 	3.3.1
USER	RecordedSimulation	1	START	1603739887061	1603739887061
REQUEST	1		homePage	1603739887118	1603739887361	OK	 
REQUEST	1		iPhonePage	1603739889232	1603739889501	OK	 
USER	RecordedSimulation	2	START	1603739890059	1603739890059
REQUEST	2		homePage	1603739890062	1603739890297	OK	 
REQUEST	1		selectedIPhonePage	1603739891176	1603739891315	OK	 
REQUEST	2		iPhonePage	1603739893501	1603739893925	OK	 
USER	RecordedSimulation	3	START	1603739894058	1603739894058
REQUEST	3		homePage	1603739894061	1603739894272	OK	 
REQUEST	3		iPhonePage	1603739897213	1603739897457	OK	 
USER	RecordedSimulation	4	START	1603739898035	1603739898035
REQUEST	4		homePage	1603739898038	1603739898271	OK	 
REQUEST	2		selectedIPhonePage	1603739898299	1603739898506	OK	 
REQUEST	3		selectedIPhonePage	1603739900034	1603739900178	OK	 
REQUEST	1		buyAndGoToCart	1603739900354	1603739900462	OK	 
REQUEST	4		iPhonePage	1603739902725	1603739902954	OK	 
REQUEST	4		selectedIPhonePage	1603739904116	1603739904252	OK	 
REQUEST	2		buyAndGoToCart	1603739907494	1603739907599	OK	 
REQUEST	3		buyAndGoToCart	1603739909177	1603739909282	OK	 
REQUEST	1		homePageAgain	1603739912454	1603739912562	OK	 
REQUEST	4		buyAndGoToCart	1603739913264	1603739913398	OK	 
REQUEST	2		homePageAgain	1603739919606	1603739919742	OK	 
REQUEST	3		homePageAgain	1603739921285	1603739921402	OK	 
REQUEST	1		watchPage	1603739921565	1603739921805	OK	 
REQUEST	4		homePageAgain	1603739925382	1603739925896	OK	 
REQUEST	2		watchPage	1603739928746	1603739928972	OK	 
REQUEST	3		watchPage	1603739930405	1603739930615	OK	 
REQUEST	4		watchPage	1603739934915	1603739935129	OK	 
REQUEST	1		selectedWatchPage	1603739936794	1603739936944	OK	 
REQUEST	1		buyAndGoToCartFromWatch	1603739943947	1603739944056	OK	 
USER	RecordedSimulation	1	END	1603739887061	1603739944075
REQUEST	2		selectedWatchPage	1603739943964	1603739945157	OK	 
REQUEST	3		selectedWatchPage	1603739945615	1603739945755	OK	 
REQUEST	4		selectedWatchPage	1603739950125	1603739950270	OK	 
REQUEST	3		buyAndGoToCartFromWatch	1603739952765	1603739953151	OK	 
USER	RecordedSimulation	3	END	1603739894058	1603739953152
REQUEST	2		buyAndGoToCartFromWatch	1603739952156	1603739953281	OK	 
USER	RecordedSimulation	2	END	1603739890059	1603739953284
REQUEST	4		buyAndGoToCartFromWatch	1603739957264	1603739957369	OK	 
USER	RecordedSimulation	4	END	1603739898035	1603739957372
