ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	demoanton.RecordedSimulation	recordedsimulation	1603738955773	 	3.3.1
USER	RecordedSimulation	1	START	1603738957112	1603738957112
REQUEST	1		homePage	1603738957150	1603738957398	OK	 
REQUEST	1		iPhonePage	1603738959304	1603738959531	OK	 
USER	RecordedSimulation	2	START	1603738960114	1603738960114
REQUEST	2		homePage	1603738960117	1603738960319	OK	 
REQUEST	2		iPhonePage	1603738961427	1603738961659	OK	 
USER	RecordedSimulation	3	START	1603738964124	1603738964124
REQUEST	3		homePage	1603738964126	1603738964351	OK	 
REQUEST	1		selectedIPhonePage	1603738964236	1603738965404	OK	 
REQUEST	2		selectedIPhonePage	1603738965489	1603738965626	OK	 
REQUEST	3		iPhonePage	1603738965784	1603738966012	OK	 
REQUEST	3		selectedIPhonePage	1603738967094	1603738967243	OK	 
USER	RecordedSimulation	4	START	1603738968103	1603738968103
REQUEST	4		homePage	1603738968106	1603738968322	OK	 
REQUEST	4		iPhonePage	1603738973024	1603738973259	OK	 
REQUEST	1		buyAndGoToCart	1603738974408	1603738974515	OK	 
REQUEST	2		buyAndGoToCart	1603738974636	1603738974739	OK	 
REQUEST	3		buyAndGoToCart	1603738976240	1603738976352	OK	 
REQUEST	4		selectedIPhonePage	1603738977756	1603738977899	OK	 
REQUEST	1		homePageAgain	1603738986536	1603738986662	OK	 
REQUEST	2		homePageAgain	1603738986722	1603738986842	OK	 
REQUEST	4		buyAndGoToCart	1603738986898	1603738987005	OK	 
REQUEST	3		homePageAgain	1603738988360	1603738988473	OK	 
REQUEST	1		watchPage	1603738995665	1603738995883	OK	 
REQUEST	2		watchPage	1603738995855	1603738996063	OK	 
REQUEST	3		watchPage	1603738997474	1603738997672	OK	 
REQUEST	4		homePageAgain	1603738999005	1603738999118	OK	 
REQUEST	4		watchPage	1603739008126	1603739008350	OK	 
REQUEST	1		selectedWatchPage	1603739010885	1603739011035	OK	 
REQUEST	2		selectedWatchPage	1603739011046	1603739011184	OK	 
REQUEST	3		selectedWatchPage	1603739012681	1603739012818	OK	 
REQUEST	1		buyAndGoToCartFromWatch	1603739018016	1603739018128	OK	 
USER	RecordedSimulation	1	END	1603738957112	1603739018142
REQUEST	2		buyAndGoToCartFromWatch	1603739018205	1603739018314	OK	 
USER	RecordedSimulation	2	END	1603738960114	1603739018318
REQUEST	3		buyAndGoToCartFromWatch	1603739019816	1603739019923	OK	 
USER	RecordedSimulation	3	END	1603738964124	1603739019927
REQUEST	4		selectedWatchPage	1603739023346	1603739023485	OK	 
REQUEST	4		buyAndGoToCartFromWatch	1603739030496	1603739030601	OK	 
USER	RecordedSimulation	4	END	1603738968103	1603739030605
