ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	demoanton.RecordedSimulation	recordedsimulation	1603412477994	 	3.3.1
USER	RecordedSimulation	1	START	1603412479840	1603412479840
REQUEST	1		homePage	1603412479884	1603412480179	OK	 
USER	RecordedSimulation	2	START	1603412482829	1603412482829
REQUEST	1		iPhonePage	1603412482798	1603412483041	OK	 
REQUEST	2		homePage	1603412482831	1603412484100	OK	 
REQUEST	1		selectedIPhonePage	1603412485842	1603412485979	OK	 
USER	RecordedSimulation	3	START	1603412486836	1603412486836
REQUEST	3		homePage	1603412486839	1603412487076	OK	 
REQUEST	2		iPhonePage	1603412488761	1603412489032	OK	 
REQUEST	1		buyAndGoToCart	1603412488793	1603412489934	OK	 
REQUEST	2		selectedIPhonePage	1603412490281	1603412490417	OK	 
USER	RecordedSimulation	4	START	1603412490809	1603412490809
REQUEST	4		homePage	1603412490812	1603412491038	OK	 
REQUEST	3		iPhonePage	1603412491076	1603412491516	OK	 
REQUEST	2		buyAndGoToCart	1603412492751	1603412492868	OK	 
REQUEST	1		homePageAgain	1603412493465	1603412493598	OK	 
REQUEST	3		selectedIPhonePage	1603412493622	1603412493768	OK	 
REQUEST	2		homePageAgain	1603412494230	1603412494352	OK	 
REQUEST	4		iPhonePage	1603412494900	1603412495142	OK	 
REQUEST	1		watchPage	1603412495461	1603412495728	OK	 
REQUEST	2		watchPage	1603412496041	1603412496264	OK	 
REQUEST	4		selectedIPhonePage	1603412496414	1603412496550	OK	 
REQUEST	3		buyAndGoToCart	1603412496991	1603412497094	OK	 
REQUEST	4		buyAndGoToCart	1603412498427	1603412498531	OK	 
REQUEST	1		selectedWatchPage	1603412499174	1603412499326	OK	 
REQUEST	2		selectedWatchPage	1603412499769	1603412499917	OK	 
REQUEST	3		homePageAgain	1603412500315	1603412500427	OK	 
REQUEST	2		buyAndGoToCartFromWatch	1603412501048	1603412501152	OK	 
USER	RecordedSimulation	2	END	1603412482829	1603412501170
REQUEST	1		buyAndGoToCartFromWatch	1603412501282	1603412501386	OK	 
USER	RecordedSimulation	1	END	1603412479840	1603412501390
REQUEST	4		homePageAgain	1603412501813	1603412501938	OK	 
REQUEST	3		watchPage	1603412504361	1603412504575	OK	 
REQUEST	4		watchPage	1603412505641	1603412505871	OK	 
REQUEST	3		selectedWatchPage	1603412508497	1603412508642	OK	 
REQUEST	4		selectedWatchPage	1603412510296	1603412510437	OK	 
REQUEST	3		buyAndGoToCartFromWatch	1603412511638	1603412511746	OK	 
USER	RecordedSimulation	3	END	1603412486836	1603412511750
REQUEST	4		buyAndGoToCartFromWatch	1603412512606	1603412512715	OK	 
USER	RecordedSimulation	4	END	1603412490809	1603412512719
