ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	demoanton.RecordedSimulation	recordedsimulation	1603412686535	 	3.3.1
USER	RecordedSimulation	1	START	1603412688169	1603412688169
REQUEST	1		homePage	1603412688234	1603412688508	OK	 
USER	RecordedSimulation	2	START	1603412691188	1603412691188
REQUEST	1		iPhonePage	1603412691043	1603412691276	OK	 
REQUEST	2		homePage	1603412691191	1603412691386	OK	 
REQUEST	2		iPhonePage	1603412693958	1603412694188	OK	 
USER	RecordedSimulation	3	START	1603412695175	1603412695175
REQUEST	3		homePage	1603412695178	1603412695420	OK	 
REQUEST	3		iPhonePage	1603412697395	1603412697659	OK	 
USER	RecordedSimulation	4	START	1603412699173	1603412699173
REQUEST	4		homePage	1603412699175	1603412699397	OK	 
REQUEST	4		iPhonePage	1603412700894	1603412701139	OK	 
REQUEST	1		selectedIPhonePage	1603412704279	1603412704422	OK	 
REQUEST	2		selectedIPhonePage	1603412707179	1603412707317	OK	 
REQUEST	1		buyAndGoToCart	1603412708630	1603412708732	OK	 
REQUEST	3		selectedIPhonePage	1603412710664	1603412710930	OK	 
REQUEST	1		homePageAgain	1603412711644	1603412711755	OK	 
REQUEST	2		buyAndGoToCart	1603412712017	1603412712119	OK	 
REQUEST	4		selectedIPhonePage	1603412714143	1603412714282	OK	 
REQUEST	3		buyAndGoToCart	1603412714676	1603412714778	OK	 
REQUEST	1		watchPage	1603412714237	1603412715482	OK	 
REQUEST	2		homePageAgain	1603412717052	1603412717174	OK	 
REQUEST	4		buyAndGoToCart	1603412718334	1603412718438	OK	 
REQUEST	3		homePageAgain	1603412719164	1603412719286	OK	 
REQUEST	4		homePageAgain	1603412720664	1603412720784	OK	 
REQUEST	3		watchPage	1603412722097	1603412722310	OK	 
REQUEST	2		watchPage	1603412722115	1603412723385	OK	 
REQUEST	4		watchPage	1603412725028	1603412725247	OK	 
REQUEST	1		selectedWatchPage	1603412730480	1603412730664	OK	 
REQUEST	1		buyAndGoToCartFromWatch	1603412735124	1603412735229	OK	 
USER	RecordedSimulation	1	END	1603412688169	1603412735243
REQUEST	3		selectedWatchPage	1603412737309	1603412737458	OK	 
REQUEST	2		selectedWatchPage	1603412738383	1603412738576	OK	 
REQUEST	4		selectedWatchPage	1603412740244	1603412740390	OK	 
REQUEST	3		buyAndGoToCartFromWatch	1603412741084	1603412741188	OK	 
USER	RecordedSimulation	3	END	1603412695175	1603412741192
REQUEST	2		buyAndGoToCartFromWatch	1603412741412	1603412741519	OK	 
USER	RecordedSimulation	2	END	1603412691188	1603412741523
REQUEST	4		buyAndGoToCartFromWatch	1603412744633	1603412744743	OK	 
USER	RecordedSimulation	4	END	1603412699173	1603412744745
