ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	demoanton.RecordedSimulation	recordedsimulation	1603484528533	 	3.3.1
USER	RecordedSimulation	1	START	1603484530239	1603484530239
REQUEST	1		homePage	1603484530287	1603484530578	OK	 
USER	RecordedSimulation	2	START	1603484533222	1603484533222
REQUEST	2		homePage	1603484533225	1603484533447	OK	 
REQUEST	1		iPhonePage	1603484534202	1603484534433	OK	 
USER	RecordedSimulation	3	START	1603484537229	1603484537229
REQUEST	3		homePage	1603484537232	1603484537479	OK	 
REQUEST	2		iPhonePage	1603484537856	1603484538094	OK	 
REQUEST	3		iPhonePage	1603484538863	1603484539100	OK	 
USER	RecordedSimulation	4	START	1603484541214	1603484541214
REQUEST	4		homePage	1603484541217	1603484541442	OK	 
REQUEST	4		iPhonePage	1603484544554	1603484544810	OK	 
REQUEST	1		selectedIPhonePage	1603484547423	1603484547576	OK	 
REQUEST	1		buyAndGoToCart	1603484549352	1603484549465	OK	 
REQUEST	2		selectedIPhonePage	1603484551105	1603484551273	OK	 
REQUEST	3		selectedIPhonePage	1603484552102	1603484552710	OK	 
REQUEST	1		homePageAgain	1603484553477	1603484553586	OK	 
REQUEST	2		buyAndGoToCart	1603484554873	1603484554976	OK	 
REQUEST	3		buyAndGoToCart	1603484556812	1603484556917	OK	 
REQUEST	1		watchPage	1603484557035	1603484557313	OK	 
REQUEST	2		homePageAgain	1603484557623	1603484557737	OK	 
REQUEST	4		selectedIPhonePage	1603484557827	1603484557958	OK	 
REQUEST	2		watchPage	1603484559153	1603484559388	OK	 
REQUEST	3		homePageAgain	1603484559308	1603484560560	OK	 
REQUEST	4		buyAndGoToCart	1603484561924	1603484562028	OK	 
REQUEST	3		watchPage	1603484562620	1603484562851	OK	 
REQUEST	4		homePageAgain	1603484565763	1603484565880	OK	 
REQUEST	4		watchPage	1603484569792	1603484570027	OK	 
REQUEST	1		selectedWatchPage	1603484572311	1603484572471	OK	 
REQUEST	2		selectedWatchPage	1603484574405	1603484574541	OK	 
REQUEST	1		buyAndGoToCartFromWatch	1603484575586	1603484575724	OK	 
USER	RecordedSimulation	1	END	1603484530239	1603484575739
REQUEST	3		selectedWatchPage	1603484577862	1603484578207	OK	 
REQUEST	2		buyAndGoToCartFromWatch	1603484579222	1603484579325	OK	 
USER	RecordedSimulation	2	END	1603484533222	1603484579330
REQUEST	3		buyAndGoToCartFromWatch	1603484582737	1603484582838	OK	 
USER	RecordedSimulation	3	END	1603484537229	1603484582840
REQUEST	4		selectedWatchPage	1603484585024	1603484585197	OK	 
REQUEST	4		buyAndGoToCartFromWatch	1603484587249	1603484587354	OK	 
USER	RecordedSimulation	4	END	1603484541214	1603484587356
