ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	demoanton.RecordedSimulation	recordedsimulation	1603739400241	 	3.3.1
USER	RecordedSimulation	1	START	1603739401586	1603739401586
REQUEST	1		homePage	1603739401632	1603739401881	OK	 
REQUEST	1		iPhonePage	1603739404105	1603739404340	OK	 
USER	RecordedSimulation	2	START	1603739404585	1603739404585
REQUEST	2		homePage	1603739404586	1603739404786	OK	 
REQUEST	1		selectedIPhonePage	1603739405641	1603739405822	OK	 
REQUEST	2		iPhonePage	1603739407477	1603739407828	OK	 
USER	RecordedSimulation	3	START	1603739408585	1603739408585
REQUEST	3		homePage	1603739408588	1603739408860	OK	 
REQUEST	3		iPhonePage	1603739410481	1603739410751	OK	 
REQUEST	2		selectedIPhonePage	1603739411357	1603739411504	OK	 
USER	RecordedSimulation	4	START	1603739412591	1603739412591
REQUEST	4		homePage	1603739412594	1603739412862	OK	 
REQUEST	3		selectedIPhonePage	1603739414386	1603739414663	OK	 
REQUEST	1		buyAndGoToCart	1603739414844	1603739415028	OK	 
REQUEST	4		iPhonePage	1603739417577	1603739419674	OK	 
REQUEST	2		buyAndGoToCart	1603739420511	1603739420875	OK	 
REQUEST	3		buyAndGoToCart	1603739423665	1603739423825	OK	 
REQUEST	4		selectedIPhonePage	1603739424603	1603739424750	OK	 
REQUEST	1		homePageAgain	1603739427021	1603739427165	OK	 
REQUEST	2		homePageAgain	1603739432883	1603739433061	OK	 
REQUEST	4		buyAndGoToCart	1603739433757	1603739433877	OK	 
REQUEST	3		homePageAgain	1603739435831	1603739435957	OK	 
REQUEST	1		watchPage	1603739436176	1603739436429	OK	 
REQUEST	2		watchPage	1603739442066	1603739442283	OK	 
REQUEST	3		watchPage	1603739444952	1603739445164	OK	 
REQUEST	4		homePageAgain	1603739445877	1603739445998	OK	 
REQUEST	1		selectedWatchPage	1603739451429	1603739451574	OK	 
REQUEST	4		watchPage	1603739455005	1603739455281	OK	 
REQUEST	2		selectedWatchPage	1603739457287	1603739457435	OK	 
REQUEST	1		buyAndGoToCartFromWatch	1603739458581	1603739458689	OK	 
USER	RecordedSimulation	1	END	1603739401586	1603739458708
REQUEST	3		selectedWatchPage	1603739460157	1603739460298	OK	 
REQUEST	2		buyAndGoToCartFromWatch	1603739464427	1603739464536	OK	 
USER	RecordedSimulation	2	END	1603739404585	1603739464540
REQUEST	3		buyAndGoToCartFromWatch	1603739467309	1603739467418	OK	 
USER	RecordedSimulation	3	END	1603739408585	1603739467423
REQUEST	4		selectedWatchPage	1603739470284	1603739470444	OK	 
REQUEST	4		buyAndGoToCartFromWatch	1603739477434	1603739477539	OK	 
USER	RecordedSimulation	4	END	1603739412591	1603739477543
