ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	demoanton.RecordedSimulation	recordedsimulation	1603413063843	 	3.3.1
USER	RecordedSimulation	1	START	1603413065636	1603413065636
REQUEST	1		homePage	1603413065689	1603413065950	OK	 
REQUEST	1		iPhonePage	1603413068139	1603413068397	OK	 
USER	RecordedSimulation	2	START	1603413068627	1603413068627
REQUEST	2		homePage	1603413068630	1603413068817	OK	 
USER	RecordedSimulation	3	START	1603413072620	1603413072620
REQUEST	2		iPhonePage	1603413072622	1603413072859	OK	 
REQUEST	3		homePage	1603413072623	1603413073935	OK	 
USER	RecordedSimulation	4	START	1603413076673	1603413076673
REQUEST	4		homePage	1603413076674	1603413076917	OK	 
REQUEST	3		iPhonePage	1603413077439	1603413077697	OK	 
REQUEST	4		iPhonePage	1603413078030	1603413078292	OK	 
REQUEST	1		selectedIPhonePage	1603413081395	1603413081536	OK	 
REQUEST	2		selectedIPhonePage	1603413085853	1603413086005	OK	 
REQUEST	1		buyAndGoToCart	1603413086452	1603413086559	OK	 
REQUEST	2		buyAndGoToCart	1603413087903	1603413088007	OK	 
REQUEST	1		homePageAgain	1603413089712	1603413089832	OK	 
REQUEST	3		selectedIPhonePage	1603413090693	1603413090830	OK	 
REQUEST	4		selectedIPhonePage	1603413091286	1603413091425	OK	 
REQUEST	1		watchPage	1603413091724	1603413091949	OK	 
REQUEST	2		homePageAgain	1603413092458	1603413092576	OK	 
REQUEST	4		buyAndGoToCart	1603413094801	1603413094903	OK	 
REQUEST	3		buyAndGoToCart	1603413095052	1603413095156	OK	 
REQUEST	2		watchPage	1603413097421	1603413097634	OK	 
REQUEST	4		homePageAgain	1603413098471	1603413098592	OK	 
REQUEST	3		homePageAgain	1603413099742	1603413099879	OK	 
REQUEST	4		watchPage	1603413103277	1603413103497	OK	 
REQUEST	3		watchPage	1603413103636	1603413103864	OK	 
REQUEST	1		selectedWatchPage	1603413106957	1603413107107	OK	 
REQUEST	1		buyAndGoToCartFromWatch	1603413110595	1603413110699	OK	 
USER	RecordedSimulation	1	END	1603413065636	1603413110708
REQUEST	2		selectedWatchPage	1603413112623	1603413112773	OK	 
REQUEST	2		buyAndGoToCartFromWatch	1603413114501	1603413114603	OK	 
USER	RecordedSimulation	2	END	1603413068627	1603413114606
REQUEST	4		selectedWatchPage	1603413118488	1603413118654	OK	 
REQUEST	3		selectedWatchPage	1603413118853	1603413119011	OK	 
REQUEST	4		buyAndGoToCartFromWatch	1603413120363	1603413120472	OK	 
USER	RecordedSimulation	4	END	1603413076673	1603413120475
REQUEST	3		buyAndGoToCartFromWatch	1603413121851	1603413121952	OK	 
USER	RecordedSimulation	3	END	1603413072620	1603413121956
