ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	demoanton.RecordedSimulation	recordedsimulation	1603568589176	 	3.3.1
USER	RecordedSimulation	1	START	1603568591034	1603568591034
REQUEST	1		homePage	1603568591088	1603568591435	OK	 
USER	RecordedSimulation	2	START	1603568594021	1603568594021
REQUEST	2		homePage	1603568594024	1603568594212	OK	 
REQUEST	1		iPhonePage	1603568594316	1603568594567	OK	 
REQUEST	2		iPhonePage	1603568595274	1603568595509	OK	 
USER	RecordedSimulation	3	START	1603568598025	1603568598025
REQUEST	3		homePage	1603568598026	1603568598253	OK	 
REQUEST	3		iPhonePage	1603568600824	1603568601068	OK	 
USER	RecordedSimulation	4	START	1603568602003	1603568602003
REQUEST	4		homePage	1603568602006	1603568602197	OK	 
REQUEST	4		iPhonePage	1603568607177	1603568607419	OK	 
REQUEST	1		selectedIPhonePage	1603568607566	1603568607697	OK	 
REQUEST	2		selectedIPhonePage	1603568608519	1603568608652	OK	 
REQUEST	2		buyAndGoToCart	1603568610077	1603568610184	OK	 
REQUEST	1		buyAndGoToCart	1603568611664	1603568611766	OK	 
REQUEST	2		homePageAgain	1603568612444	1603568612558	OK	 
REQUEST	3		selectedIPhonePage	1603568614069	1603568614207	OK	 
REQUEST	2		watchPage	1603568614602	1603568614824	OK	 
REQUEST	1		homePageAgain	1603568616558	1603568616670	OK	 
REQUEST	3		buyAndGoToCart	1603568616714	1603568616815	OK	 
REQUEST	3		homePageAgain	1603568619127	1603568619243	OK	 
REQUEST	1		watchPage	1603568619719	1603568619926	OK	 
REQUEST	4		selectedIPhonePage	1603568620424	1603568620877	OK	 
REQUEST	3		watchPage	1603568622392	1603568622601	OK	 
REQUEST	4		buyAndGoToCart	1603568625367	1603568625474	OK	 
REQUEST	4		homePageAgain	1603568628333	1603568628454	OK	 
REQUEST	2		selectedWatchPage	1603568629822	1603568629964	OK	 
REQUEST	2		buyAndGoToCartFromWatch	1603568633090	1603568633198	OK	 
USER	RecordedSimulation	2	END	1603568594021	1603568633222
REQUEST	4		watchPage	1603568633260	1603568633476	OK	 
REQUEST	1		selectedWatchPage	1603568634925	1603568635059	OK	 
REQUEST	1		buyAndGoToCartFromWatch	1603568636114	1603568636213	OK	 
USER	RecordedSimulation	1	END	1603568591034	1603568636215
REQUEST	3		selectedWatchPage	1603568637602	1603568637735	OK	 
REQUEST	3		buyAndGoToCartFromWatch	1603568639542	1603568639642	OK	 
USER	RecordedSimulation	3	END	1603568598025	1603568639644
REQUEST	4		selectedWatchPage	1603568648454	1603568648614	OK	 
REQUEST	4		buyAndGoToCartFromWatch	1603568653010	1603568653112	OK	 
USER	RecordedSimulation	4	END	1603568602003	1603568653115
