ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	demoanton.RecordedSimulation	recordedsimulation	1603405930073	 	3.3.1
USER	RecordedSimulation	1	START	1603405932169	1603405932169
REQUEST	1		open main page	1603405932220	1603405932535	OK	 
REQUEST	1		get spec_json	1603405936463	1603405936976	OK	 
USER	RecordedSimulation	2	START	1603405937161	1603405937161
REQUEST	2		open main page	1603405937163	1603405937455	OK	 
REQUEST	1		delete	1603405937975	1603405938114	OK	 
REQUEST	2		get spec_json	1603405940308	1603405940754	OK	 
USER	RecordedSimulation	3	START	1603405942153	1603405942153
REQUEST	2		delete	1603405941762	1603405942215	OK	 
REQUEST	3		open main page	1603405942154	1603405942462	OK	 
REQUEST	3		get spec_json	1603405945809	1603405946344	OK	 
REQUEST	3		delete	1603405947342	1603405947620	OK	 
REQUEST	1		get	1603405951123	1603405951263	OK	 
REQUEST	2		get	1603405955223	1603405955527	OK	 
REQUEST	3		get	1603405960621	1603405960767	OK	 
REQUEST	1		patch	1603405964271	1603405964414	OK	 
REQUEST	2		patch	1603405968516	1603405968660	OK	 
REQUEST	3		patch	1603405973779	1603405973925	OK	 
REQUEST	1		post	1603405975421	1603405975563	OK	 
REQUEST	2		post	1603405979666	1603405979805	OK	 
REQUEST	3		post	1603405984918	1603405985065	OK	 
REQUEST	1		put	1603406000563	1603406000708	OK	 
USER	RecordedSimulation	1	END	1603405932169	1603406000728
REQUEST	2		put	1603406004814	1603406004952	OK	 
USER	RecordedSimulation	2	END	1603405937161	1603406004956
REQUEST	3		put	1603406010061	1603406010207	OK	 
USER	RecordedSimulation	3	END	1603405942153	1603406010210
