ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	demoanton.RecordedSimulation	recordedsimulation	1603659336406	 	3.3.1
USER	RecordedSimulation	1	START	1603659338224	1603659338224
REQUEST	1		homePage	1603659338271	1603659338849	OK	 
USER	RecordedSimulation	2	START	1603659341211	1603659341211
REQUEST	2		homePage	1603659341213	1603659341456	OK	 
REQUEST	1		iPhonePage	1603659343874	1603659344217	OK	 
REQUEST	2		iPhonePage	1603659344527	1603659344991	OK	 
USER	RecordedSimulation	3	START	1603659345210	1603659345210
REQUEST	3		homePage	1603659345213	1603659345678	OK	 
REQUEST	3		iPhonePage	1603659348279	1603659348511	OK	 
USER	RecordedSimulation	4	START	1603659349213	1603659349213
REQUEST	4		homePage	1603659349215	1603659350466	OK	 
REQUEST	4		iPhonePage	1603659353780	1603659354048	OK	 
REQUEST	1		selectedIPhonePage	1603659357213	1603659357373	OK	 
REQUEST	2		selectedIPhonePage	1603659358003	1603659358216	OK	 
REQUEST	1		buyAndGoToCart	1603659359527	1603659359662	OK	 
REQUEST	2		buyAndGoToCart	1603659361431	1603659361540	OK	 
REQUEST	1		homePageAgain	1603659362437	1603659362580	OK	 
REQUEST	3		selectedIPhonePage	1603659361510	1603659362753	OK	 
REQUEST	2		homePageAgain	1603659363168	1603659363538	OK	 
REQUEST	2		watchPage	1603659365399	1603659365647	OK	 
REQUEST	1		watchPage	1603659365910	1603659366117	OK	 
REQUEST	3		buyAndGoToCart	1603659366421	1603659366531	OK	 
REQUEST	4		selectedIPhonePage	1603659367060	1603659367203	OK	 
REQUEST	3		homePageAgain	1603659367881	1603659368006	OK	 
REQUEST	4		buyAndGoToCart	1603659369650	1603659369755	OK	 
REQUEST	4		homePageAgain	1603659371481	1603659371613	OK	 
REQUEST	3		watchPage	1603659372969	1603659373598	OK	 
REQUEST	4		watchPage	1603659373462	1603659374716	OK	 
REQUEST	2		selectedWatchPage	1603659380648	1603659380843	OK	 
REQUEST	1		selectedWatchPage	1603659381112	1603659381273	OK	 
REQUEST	2		buyAndGoToCartFromWatch	1603659383436	1603659383689	OK	 
USER	RecordedSimulation	2	END	1603659341211	1603659383707
REQUEST	1		buyAndGoToCartFromWatch	1603659384862	1603659384968	OK	 
USER	RecordedSimulation	1	END	1603659338224	1603659384972
REQUEST	3		selectedWatchPage	1603659388600	1603659389812	OK	 
REQUEST	4		selectedWatchPage	1603659389730	1603659389930	OK	 
REQUEST	3		buyAndGoToCartFromWatch	1603659393662	1603659393771	OK	 
USER	RecordedSimulation	3	END	1603659345210	1603659393775
REQUEST	4		buyAndGoToCartFromWatch	1603659394737	1603659394855	OK	 
USER	RecordedSimulation	4	END	1603659349213	1603659394857
