ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	demoanton.RecordedSimulation	recordedsimulation	1603659575997	 	3.3.1
USER	RecordedSimulation	1	START	1603659578777	1603659578777
REQUEST	1		homePage	1603659578844	1603659579098	OK	 
USER	RecordedSimulation	2	START	1603659581743	1603659581743
REQUEST	2		homePage	1603659581746	1603659581967	OK	 
REQUEST	1		iPhonePage	1603659583753	1603659584063	OK	 
USER	RecordedSimulation	3	START	1603659585754	1603659585754
REQUEST	3		homePage	1603659585756	1603659586265	OK	 
REQUEST	2		iPhonePage	1603659586869	1603659587096	OK	 
USER	RecordedSimulation	4	START	1603659589740	1603659589740
REQUEST	4		homePage	1603659589742	1603659589969	OK	 
REQUEST	3		iPhonePage	1603659590190	1603659590451	OK	 
REQUEST	4		iPhonePage	1603659591502	1603659591731	OK	 
REQUEST	1		selectedIPhonePage	1603659597072	1603659597212	OK	 
REQUEST	2		selectedIPhonePage	1603659600100	1603659600236	OK	 
REQUEST	1		buyAndGoToCart	1603659601439	1603659601555	OK	 
REQUEST	3		selectedIPhonePage	1603659603442	1603659603666	OK	 
REQUEST	1		homePageAgain	1603659604172	1603659604300	OK	 
REQUEST	4		selectedIPhonePage	1603659604742	1603659604901	OK	 
REQUEST	2		buyAndGoToCart	1603659604901	1603659605010	OK	 
REQUEST	4		buyAndGoToCart	1603659606714	1603659606820	OK	 
REQUEST	3		buyAndGoToCart	1603659607647	1603659607750	OK	 
REQUEST	1		watchPage	1603659608573	1603659608794	OK	 
REQUEST	4		homePageAgain	1603659608805	1603659608922	OK	 
REQUEST	3		homePageAgain	1603659608912	1603659609025	OK	 
REQUEST	2		homePageAgain	1603659609131	1603659609244	OK	 
REQUEST	3		watchPage	1603659611055	1603659611276	OK	 
REQUEST	2		watchPage	1603659611238	1603659612593	OK	 
REQUEST	4		watchPage	1603659613365	1603659614325	OK	 
REQUEST	1		selectedWatchPage	1603659623800	1603659623969	OK	 
REQUEST	3		selectedWatchPage	1603659626282	1603659626440	OK	 
REQUEST	2		selectedWatchPage	1603659627597	1603659627764	OK	 
REQUEST	3		buyAndGoToCartFromWatch	1603659627752	1603659627856	OK	 
USER	RecordedSimulation	3	END	1603659585754	1603659627867
REQUEST	1		buyAndGoToCartFromWatch	1603659627941	1603659628058	OK	 
USER	RecordedSimulation	1	END	1603659578777	1603659628061
REQUEST	4		selectedWatchPage	1603659629321	1603659630028	OK	 
REQUEST	2		buyAndGoToCartFromWatch	1603659631032	1603659631503	OK	 
USER	RecordedSimulation	2	END	1603659581743	1603659631505
REQUEST	4		buyAndGoToCartFromWatch	1603659633760	1603659633864	OK	 
USER	RecordedSimulation	4	END	1603659589740	1603659633877
