ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	demoanton.RecordedSimulation	recordedsimulation	1603484090719	 	3.3.1
USER	RecordedSimulation	1	START	1603484092622	1603484092622
REQUEST	1		homePage	1603484092670	1603484092957	OK	 
REQUEST	1		iPhonePage	1603484094316	1603484094876	OK	 
USER	RecordedSimulation	2	START	1603484095601	1603484095601
REQUEST	2		homePage	1603484095604	1603484095816	OK	 
REQUEST	2		iPhonePage	1603484098528	1603484098768	OK	 
USER	RecordedSimulation	3	START	1603484099601	1603484099601
REQUEST	3		homePage	1603484099603	1603484099825	OK	 
USER	RecordedSimulation	4	START	1603484103601	1603484103601
REQUEST	4		homePage	1603484103604	1603484103832	OK	 
REQUEST	3		iPhonePage	1603484103851	1603484104087	OK	 
REQUEST	1		selectedIPhonePage	1603484107875	1603484108033	OK	 
REQUEST	4		iPhonePage	1603484108221	1603484108488	OK	 
REQUEST	1		buyAndGoToCart	1603484110280	1603484110397	OK	 
REQUEST	2		selectedIPhonePage	1603484111767	1603484111895	OK	 
REQUEST	1		homePageAgain	1603484114423	1603484114542	OK	 
REQUEST	2		buyAndGoToCart	1603484115243	1603484115355	OK	 
REQUEST	3		selectedIPhonePage	1603484117083	1603484117228	OK	 
REQUEST	1		watchPage	1603484118585	1603484118805	OK	 
REQUEST	3		buyAndGoToCart	1603484118912	1603484119024	OK	 
REQUEST	2		homePageAgain	1603484118942	1603484120266	OK	 
REQUEST	4		selectedIPhonePage	1603484121499	1603484121662	OK	 
REQUEST	2		watchPage	1603484121983	1603484122205	OK	 
REQUEST	3		homePageAgain	1603484122967	1603484123081	OK	 
REQUEST	4		buyAndGoToCart	1603484123818	1603484123926	OK	 
REQUEST	3		watchPage	1603484125767	1603484125998	OK	 
REQUEST	4		homePageAgain	1603484128069	1603484128186	OK	 
REQUEST	4		watchPage	1603484131953	1603484132175	OK	 
REQUEST	1		selectedWatchPage	1603484133822	1603484133997	OK	 
REQUEST	1		buyAndGoToCartFromWatch	1603484135411	1603484135517	OK	 
USER	RecordedSimulation	1	END	1603484092622	1603484135537
REQUEST	2		selectedWatchPage	1603484137196	1603484137362	OK	 
REQUEST	3		selectedWatchPage	1603484141009	1603484141899	OK	 
REQUEST	2		buyAndGoToCartFromWatch	1603484140983	1603484142719	OK	 
USER	RecordedSimulation	2	END	1603484095601	1603484142723
REQUEST	3		buyAndGoToCartFromWatch	1603484144900	1603484145011	OK	 
USER	RecordedSimulation	3	END	1603484099601	1603484145015
REQUEST	4		selectedWatchPage	1603484147195	1603484147342	OK	 
REQUEST	4		buyAndGoToCartFromWatch	1603484151662	1603484151777	OK	 
USER	RecordedSimulation	4	END	1603484103601	1603484151782
