ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	demoanton.RecordedSimulation	recordedsimulation	1603568149572	 	3.3.1
USER	RecordedSimulation	1	START	1603568151463	1603568151463
REQUEST	1		homePage	1603568151559	1603568151837	OK	 
USER	RecordedSimulation	2	START	1603568154435	1603568154435
REQUEST	2		homePage	1603568154439	1603568154633	OK	 
REQUEST	1		iPhonePage	1603568155790	1603568156038	OK	 
USER	RecordedSimulation	3	START	1603568158425	1603568158425
REQUEST	3		homePage	1603568158428	1603568158659	OK	 
REQUEST	2		iPhonePage	1603568159625	1603568159866	OK	 
REQUEST	3		iPhonePage	1603568159816	1603568161009	OK	 
USER	RecordedSimulation	4	START	1603568162441	1603568162441
REQUEST	4		homePage	1603568162445	1603568162673	OK	 
REQUEST	4		iPhonePage	1603568167155	1603568167379	OK	 
REQUEST	1		selectedIPhonePage	1603568169037	1603568169176	OK	 
REQUEST	2		selectedIPhonePage	1603568172863	1603568173028	OK	 
REQUEST	1		buyAndGoToCart	1603568173196	1603568173303	OK	 
REQUEST	3		selectedIPhonePage	1603568174007	1603568174153	OK	 
REQUEST	2		buyAndGoToCart	1603568177409	1603568177512	OK	 
REQUEST	1		homePageAgain	1603568178097	1603568178214	OK	 
REQUEST	3		buyAndGoToCart	1603568178706	1603568178817	OK	 
REQUEST	3		homePageAgain	1603568179961	1603568180091	OK	 
REQUEST	1		watchPage	1603568180277	1603568180502	OK	 
REQUEST	2		homePageAgain	1603568181152	1603568181262	OK	 
REQUEST	4		selectedIPhonePage	1603568180384	1603568181553	OK	 
REQUEST	3		watchPage	1603568183038	1603568183251	OK	 
REQUEST	2		watchPage	1603568185149	1603568185354	OK	 
REQUEST	4		buyAndGoToCart	1603568185541	1603568185643	OK	 
REQUEST	4		homePageAgain	1603568188958	1603568189076	OK	 
REQUEST	4		watchPage	1603568192191	1603568192414	OK	 
REQUEST	1		selectedWatchPage	1603568195525	1603568195692	OK	 
REQUEST	3		selectedWatchPage	1603568198255	1603568198400	OK	 
REQUEST	3		buyAndGoToCartFromWatch	1603568199525	1603568199633	OK	 
USER	RecordedSimulation	3	END	1603568158425	1603568199650
REQUEST	1		buyAndGoToCartFromWatch	1603568200340	1603568200443	OK	 
USER	RecordedSimulation	1	END	1603568151463	1603568200448
REQUEST	2		selectedWatchPage	1603568200357	1603568201553	OK	 
REQUEST	2		buyAndGoToCartFromWatch	1603568205007	1603568205113	OK	 
USER	RecordedSimulation	2	END	1603568154435	1603568205115
REQUEST	4		selectedWatchPage	1603568207406	1603568207553	OK	 
REQUEST	4		buyAndGoToCartFromWatch	1603568212215	1603568212319	OK	 
USER	RecordedSimulation	4	END	1603568162441	1603568212323
