ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	demoanton.RecordedSimulation	recordedsimulation	1603413506762	 	3.3.1
USER	RecordedSimulation	1	START	1603413508578	1603413508578
REQUEST	1		homePage	1603413508637	1603413508856	OK	 
USER	RecordedSimulation	2	START	1603413511559	1603413511559
REQUEST	2		homePage	1603413511562	1603413511779	OK	 
REQUEST	1		iPhonePage	1603413512373	1603413512645	OK	 
USER	RecordedSimulation	3	START	1603413515577	1603413515577
REQUEST	2		iPhonePage	1603413515361	1603413515625	OK	 
REQUEST	3		homePage	1603413515580	1603413515824	OK	 
REQUEST	3		iPhonePage	1603413517428	1603413517692	OK	 
USER	RecordedSimulation	4	START	1603413519561	1603413519561
REQUEST	4		homePage	1603413519565	1603413519804	OK	 
REQUEST	4		iPhonePage	1603413524698	1603413524953	OK	 
REQUEST	1		selectedIPhonePage	1603413525646	1603413525792	OK	 
REQUEST	1		buyAndGoToCart	1603413527405	1603413527511	OK	 
REQUEST	2		selectedIPhonePage	1603413528646	1603413528786	OK	 
REQUEST	1		homePageAgain	1603413529877	1603413529995	OK	 
REQUEST	3		selectedIPhonePage	1603413530689	1603413530825	OK	 
REQUEST	2		buyAndGoToCart	1603413532754	1603413532857	OK	 
REQUEST	1		watchPage	1603413534457	1603413534696	OK	 
REQUEST	2		homePageAgain	1603413535091	1603413535200	OK	 
REQUEST	3		buyAndGoToCart	1603413535154	1603413536320	OK	 
REQUEST	4		selectedIPhonePage	1603413537962	1603413538437	OK	 
REQUEST	3		homePageAgain	1603413539098	1603413539250	OK	 
REQUEST	4		buyAndGoToCart	1603413539599	1603413539839	OK	 
REQUEST	2		watchPage	1603413539755	1603413541031	OK	 
REQUEST	4		homePageAgain	1603413542278	1603413542405	OK	 
REQUEST	3		watchPage	1603413542662	1603413542887	OK	 
REQUEST	4		watchPage	1603413546679	1603413546929	OK	 
REQUEST	1		selectedWatchPage	1603413549708	1603413549861	OK	 
REQUEST	1		buyAndGoToCartFromWatch	1603413551428	1603413551535	OK	 
USER	RecordedSimulation	1	END	1603413508578	1603413551559
REQUEST	2		selectedWatchPage	1603413556026	1603413556227	OK	 
REQUEST	3		selectedWatchPage	1603413557888	1603413558073	OK	 
REQUEST	2		buyAndGoToCartFromWatch	1603413558657	1603413558759	OK	 
USER	RecordedSimulation	2	END	1603413511559	1603413558763
REQUEST	4		selectedWatchPage	1603413561942	1603413562095	OK	 
REQUEST	3		buyAndGoToCartFromWatch	1603413562194	1603413562304	OK	 
USER	RecordedSimulation	3	END	1603413515577	1603413562307
REQUEST	4		buyAndGoToCartFromWatch	1603413566875	1603413566983	OK	 
USER	RecordedSimulation	4	END	1603413519561	1603413566987
