ASSERTION	AAECAAMEAAAAAAAAwFdA
RUN	demoanton.RecordedSimulation	recordedsimulation	1603567625749	 	3.3.1
USER	RecordedSimulation	1	START	1603567627764	1603567627764
REQUEST	1		homePage	1603567627811	1603567628079	OK	 
USER	RecordedSimulation	2	START	1603567630741	1603567630741
REQUEST	2		homePage	1603567630745	1603567630934	OK	 
REQUEST	1		iPhonePage	1603567631749	1603567632001	OK	 
REQUEST	2		iPhonePage	1603567632381	1603567632632	OK	 
USER	RecordedSimulation	3	START	1603567634730	1603567634730
REQUEST	3		homePage	1603567634732	1603567634961	OK	 
REQUEST	3		iPhonePage	1603567638126	1603567638376	OK	 
USER	RecordedSimulation	4	START	1603567638729	1603567638729
REQUEST	4		homePage	1603567638731	1603567638931	OK	 
REQUEST	4		iPhonePage	1603567642143	1603567642403	OK	 
REQUEST	1		selectedIPhonePage	1603567645009	1603567645134	OK	 
REQUEST	2		selectedIPhonePage	1603567645618	1603567645746	OK	 
REQUEST	2		buyAndGoToCart	1603567647119	1603567647226	OK	 
REQUEST	1		buyAndGoToCart	1603567649208	1603567649314	OK	 
REQUEST	2		homePageAgain	1603567651137	1603567651249	OK	 
REQUEST	3		selectedIPhonePage	1603567651374	1603567651497	OK	 
REQUEST	1		homePageAgain	1603567654283	1603567654394	OK	 
REQUEST	3		buyAndGoToCart	1603567654893	1603567655018	OK	 
REQUEST	4		selectedIPhonePage	1603567655407	1603567655531	OK	 
REQUEST	2		watchPage	1603567655877	1603567656094	OK	 
REQUEST	4		buyAndGoToCart	1603567657787	1603567657907	OK	 
REQUEST	1		watchPage	1603567658168	1603567658374	OK	 
REQUEST	3		homePageAgain	1603567658896	1603567659007	OK	 
REQUEST	3		watchPage	1603567661585	1603567661787	OK	 
REQUEST	4		homePageAgain	1603567662306	1603567662421	OK	 
REQUEST	4		watchPage	1603567667045	1603567667246	OK	 
REQUEST	2		selectedWatchPage	1603567671105	1603567671242	OK	 
REQUEST	1		selectedWatchPage	1603567673377	1603567673513	OK	 
REQUEST	2		buyAndGoToCartFromWatch	1603567674971	1603567675083	OK	 
USER	RecordedSimulation	2	END	1603567630741	1603567675103
REQUEST	1		buyAndGoToCartFromWatch	1603567675868	1603567675974	OK	 
USER	RecordedSimulation	1	END	1603567627764	1603567675979
REQUEST	3		selectedWatchPage	1603567676771	1603567676910	OK	 
REQUEST	3		buyAndGoToCartFromWatch	1603567679018	1603567679121	OK	 
USER	RecordedSimulation	3	END	1603567634730	1603567679126
REQUEST	4		selectedWatchPage	1603567682252	1603567682388	OK	 
REQUEST	4		buyAndGoToCartFromWatch	1603567684318	1603567684421	OK	 
USER	RecordedSimulation	4	END	1603567638729	1603567684425
